,온도,습도,풍속,풍향,조도,자외선,소음,진동,흑구온도,이산화질소,일산화탄소,이산화황,암모니아,황화수소,오존
OC3CL200304,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OC3CL200305,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
OC3CL200012,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True
OC3CL200013,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True
OC3CL200014,True,True,False,False,False,True,True,False,True,False,False,False,True,True,True
OC3CL200016,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True
OC3CL200019,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True
OC3CL200025,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200026,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200027,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200028,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200029,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200030,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200034,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200035,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200036,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200037,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200038,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200039,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200040,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200041,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200042,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200043,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200044,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200045,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200046,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200047,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200048,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200049,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200050,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200051,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200052,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200053,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200057,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200058,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200059,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200063,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
OC3CL200064,True,True,False,False,True,True,True,False,False,False,False,False,True,True,True
OC3CL200066,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True
OC3CL200067,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True
OC3CL200069,True,True,False,False,True,True,True,False,False,False,False,False,False,False,False
OC3CL200080,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
OC3CL200082,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
OC3CL200087,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
OC3CL200088,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
OC3CL200089,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True
OC3CL200090,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200091,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200092,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200093,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200094,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200097,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200100,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200104,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200105,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200109,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200111,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200113,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200115,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200121,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200122,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200124,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200125,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200126,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200127,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200128,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200129,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200130,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200132,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200133,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200134,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200135,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True
OC3CL200137,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True
OC3CL200139,True,True,True,True,False,False,True,False,False,False,False,False,True,True,True
OC3CL200140,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200141,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200142,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200144,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200145,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200151,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200152,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
OC3CL200153,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True
OC3CL200154,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False
OC3CL200155,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200157,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200159,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200160,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200161,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200165,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200166,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200167,True,True,False,False,False,False,True,True,False,True,True,True,False,False,True
OC3CL200168,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False
OC3CL200169,True,True,False,False,False,False,True,True,False,True,True,True,False,False,False
OC3CL200170,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200172,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200173,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200174,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True
OC3CL200175,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200176,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200177,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200178,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200179,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200180,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200181,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200182,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200183,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200184,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200185,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200186,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200187,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200188,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200189,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200190,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200191,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200192,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200193,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200201,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
OC3CL200202,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
OC3CL200203,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
